close,open,high,low,vol,predicted,SMA_20,STD_20,Upper_Band,Lower_Band,RSI
0.2,0.1,0.2,0.1,19220.0,1.0,0.105,0.0223606797749979,0.1497213595499958,0.0602786404500042,100.0
0.2,0.2,0.2,0.2,65610.0,1.0,0.11,0.0307793505625546,0.1715587011251092,0.0484412988748907,100.0
0.2,0.2,0.2,0.2,21530.0,1.0,0.115,0.0366347548532523,0.1882695097065047,0.0417304902934953,100.0
0.2,0.2,0.2,0.2,28690.0,1.0,0.12,0.0410391340834061,0.2020782681668123,0.0379217318331876,100.0
0.2,0.2,0.2,0.2,26710.0,1.0,0.125,0.0444261658319319,0.2138523316638638,0.0361476683361361,100.0
0.2,0.2,0.2,0.2,40340.0,1.0,0.13,0.0470162345981627,0.2240324691963254,0.0359675308036745,100.0
0.2,0.2,0.2,0.2,21260.0,1.0,0.135,0.0489360484929592,0.2328720969859186,0.0371279030140814,100.0
0.2,0.2,0.2,0.2,5850.0,1.0,0.14,0.0502624689950034,0.2405249379900069,0.039475062009993,100.0
0.2,0.2,0.3,0.1,61470.0,1.0,0.145,0.051041778553404,0.2470835571068081,0.0429164428931919,100.0
0.2,0.2,0.2,0.2,29700.0,1.0,0.15,0.0512989176042577,0.2525978352085154,0.0474021647914845,100.0
0.3,0.2,0.3,0.2,36620.0,1.0,0.16,0.0598243041616118,0.2796486083232238,0.0403513916767762,100.0
0.4,0.3,0.5,0.2,32760.0,1.0,0.175,0.0786397515657049,0.3322795031314098,0.0177204968685901,100.0
0.3,0.4,0.5,0.3,77220.0,-1.0,0.185,0.0812727700887249,0.3475455401774497,0.0224544598225502,75.0
0.2,0.3,0.4,0.2,118200.0,1.0,0.19,0.0788068925652412,0.3476137851304824,0.0323862148695175,60.0
0.2,0.2,0.3,0.2,47980.0,1.0,0.195,0.0759154654516248,0.3468309309032497,0.0431690690967503,50.0
0.2,0.2,0.2,0.1,30390.0,1.0,0.2,0.0725476250110011,0.3450952500220023,0.0549047499779976,50.0
0.2,0.2,0.2,0.2,5030.0,1.0,0.205,0.0686332741153259,0.3422665482306519,0.067733451769348,50.0
0.3,0.2,0.3,0.2,40720.0,1.0,0.215,0.0670820393249936,0.3491640786499873,0.0808359213500126,60.0
0.3,0.3,0.3,0.3,21920.0,1.0,0.225,0.0638666373658504,0.3527332747317009,0.097266725268299,60.0
0.3,0.3,0.3,0.3,16840.0,1.0,0.235,0.0587142948612399,0.3524285897224799,0.1175714102775201,60.0
0.3,0.3,0.3,0.3,8510.0,1.0,0.24,0.0598243041616118,0.3596486083232237,0.1203513916767763,60.0
0.2,0.3,0.3,0.2,33930.0,1.0,0.24,0.0598243041616118,0.3596486083232237,0.1203513916767763,50.0
0.2,0.2,0.3,0.2,32870.0,1.0,0.24,0.0598243041616118,0.3596486083232236,0.1203513916767763,50.0
0.3,0.2,0.3,0.2,37450.0,1.0,0.245,0.0604805318829299,0.3659610637658598,0.1240389362341402,57.14285714285714
0.3,0.3,0.3,0.3,2160.0,1.0,0.25,0.0606976978666883,0.3713953957333767,0.1286046042666233,50.0
0.3,0.3,0.3,0.3,14650.0,1.0,0.255,0.0604805318829299,0.3759610637658598,0.1340389362341402,39.99999999999999
0.3,0.3,0.3,0.3,770.0,1.0,0.26,0.0598243041616118,0.3796486083232236,0.1403513916767763,50.0
0.3,0.3,0.3,0.3,28210.0,1.0,0.265,0.0587142948612399,0.3824285897224799,0.1475714102775201,66.66666666666666
0.3,0.3,0.3,0.3,4860.0,1.0,0.27,0.0571240570577478,0.3842481141154958,0.1557518858845042,66.66666666666666
0.3,0.3,0.3,0.3,2520.0,1.0,0.275,0.055011960422018,0.3850239208440361,0.1649760791559639,66.66666666666666
0.3,0.3,0.3,0.3,1680.0,1.0,0.275,0.055011960422018,0.3850239208440361,0.1649760791559639,66.66666666666666
0.3,0.3,0.3,0.3,33530.0,1.0,0.2699999999999999,0.0470162345981626,0.3640324691963252,0.1759675308036746,50.0
0.3,0.3,0.3,0.3,1830.0,1.0,0.2699999999999999,0.0470162345981626,0.3640324691963252,0.1759675308036746,50.0
0.3,0.3,0.3,0.3,20800.0,1.0,0.2749999999999999,0.0444261658319318,0.3638523316638636,0.1861476683361362,50.0
0.2,0.3,0.3,0.2,35060.0,1.0,0.275,0.0444261658319318,0.3638523316638637,0.1861476683361363,33.33333333333333
0.2,0.2,0.2,0.2,21480.0,1.0,0.275,0.0444261658319318,0.3638523316638637,0.1861476683361363,50.0
0.2,0.2,0.2,0.2,8160.0,1.0,0.275,0.0444261658319318,0.3638523316638637,0.1861476683361363,50.0
0.3,0.2,0.3,0.2,20310.0,1.0,0.275,0.0444261658319318,0.3638523316638637,0.1861476683361363,50.0
0.3,0.3,0.3,0.2,2570.0,1.0,0.275,0.0444261658319318,0.3638523316638637,0.1861476683361363,50.0
0.2,0.3,0.3,0.2,28560.0,1.0,0.2699999999999999,0.0470162345981626,0.3640324691963252,0.1759675308036746,33.33333333333333
0.2,0.2,0.2,0.2,5740.0,1.0,0.265,0.0489360484929592,0.3628720969859185,0.1671279030140815,33.33333333333333
0.2,0.2,0.2,0.2,4320.0,1.0,0.265,0.0489360484929592,0.3628720969859185,0.1671279030140815,33.33333333333333
0.2,0.2,0.2,0.2,24590.0,1.0,0.265,0.0489360484929592,0.3628720969859185,0.1671279030140815,33.33333333333333
0.2,0.2,0.2,0.2,3430.0,1.0,0.2599999999999999,0.0502624689950034,0.3605249379900068,0.1594750620099931,33.33333333333333
